OfficeServiceID,OfficeID,ServiceID,Contact Name,Suburb,State,Postcode,Phone Number,Email,Lat,Lon,officeID
1,1,1,Elton Mckenzie,Hurstville,NSW,1493,(+06) 12 35563485,hurstville@myoffice.gov.au,-33.975869,151.088939,1
2,1,2,Elton Mckenzie,Hurstville,NSW,1493,(+06) 12 35563485,hurstville@myoffice.gov.au,-33.975869,151.088939,1
3,2,1,Kennith Graves,Sydney,NSW,2000,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114,2
4,2,2,Kennith Graves,Sydney,NSW,2000,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114,2
5,2,3,Kennith Graves,Sydney,NSW,2000,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114,2
6,2,4,Kennith Graves,Sydney,NSW,2000,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114,2
7,2,5,Kennith Graves,Sydney,NSW,2000,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114,2
8,3,1,Myrna Duke,Auburn,NSW,2144,(+61) 07 36372375,auburn@myoffice.gov.au,-33.849322,151.033421,3
9,3,2,Myrna Duke,Auburn,NSW,2144,(+61) 07 36372375,auburn@myoffice.gov.au,-33.849322,151.033421,3
10,4,1,Parker Lang,Riverwood,NSW,2210,(+61) 07 45747345,riverwood@myoffice.gov.au,-33.949859,151.052469,4
11,4,4,Parker Lang,Riverwood,NSW,2210,(+61) 07 45747345,riverwood@myoffice.gov.au,-33.949859,151.052469,4
12,4,5,Parker Lang,Riverwood,NSW,2210,(+61) 07 45747345,riverwood@myoffice.gov.au,-33.949859,151.052469,4
13,5,2,Sara Mcconnell,Fingal Bay,NSW,2315,(+06) 12 37532374,fingalbay@myoffice.gov.au,-32.748113,152.170141,5
14,6,3,Anton Orozco,Harrington,NSW,2427,(+61) 02 36733495,harrington@myoffice.gov.au,-31.872153,152.689811,6
15,7,1,Lillian Leach,Back Forest,NSW,2535,(+61) 07 34953946,backforest@myoffice.gov.au,-34.853655,150.678507,7
16,7,2,Lillian Leach,Back Forest,NSW,2535,(+61) 07 34953946,backforest@myoffice.gov.au,-34.853655,150.678507,7
17,7,5,Lillian Leach,Back Forest,NSW,2535,(+61) 07 34953946,backforest@myoffice.gov.au,-34.853655,150.678507,7
18,8,1,Kari Avery,Jindabyne,NSW,2627,(+61) 07 82452731,jindabyne @myoffice.gov.au,-36.415074,148.618871,8
19,8,2,Kari Avery,Jindabyne,NSW,2627,(+61) 07 82452731,jindabyne @myoffice.gov.au,-36.415074,148.618871,8
20,8,3,Kari Avery,Jindabyne,NSW,2627,(+61) 07 82452731,jindabyne @myoffice.gov.au,-36.415074,148.618871,8
21,9,1,Kate Mcpherson,Benolong,NSW,2830,(+61) 02 70462777,benolong@myoffice.gov.au,-32.413736,148.63938,9
22,9,4,Kate Mcpherson,Benolong,NSW,2830,(+61) 02 70462777,benolong@myoffice.gov.au,-32.413736,148.63938,9
23,10,1,Russel Silva,Melbourne,VIC,3000,(+06) 13 56741965,melbourne@myoffice.gov.au,-37.814563,144.970267,10
24,10,2,Russel Silva,Melbourne,VIC,3000,(+06) 13 56741965,melbourne@myoffice.gov.au,-37.814563,144.970267,10
25,10,3,Russel Silva,Melbourne,VIC,3000,(+06) 13 56741965,melbourne@myoffice.gov.au,-37.814563,144.970267,10
26,10,4,Russel Silva,Melbourne,VIC,3000,(+06) 13 56741965,melbourne@myoffice.gov.au,-37.814563,144.970267,10
27,10,5,Russel Silva,Melbourne,VIC,3000,(+06) 13 56741965,melbourne@myoffice.gov.au,-37.814563,144.970267,10
28,11,2,Bettie Stevenson,Preston,VIC,3072,(+61) 03 45627777,preston@myoffice.gov.au,-37.738736,145.000515,11
